ft,REFS_REFS_VALID,REFS_ESM_VALID,REFS_BETA_ANGLE,REFS_SUN_ECLIPSE_EARTH_PENUMBRA_FLAG,REFS_SUN_ECLIPSE_EARTH_UMBRA_FLAG,REFS_SUN_ECLIPSE_MOON_PENUMBRA_FLAG,REFS_SUN_ECLIPSE_MOON_UMBRA_FLAG,REFS_POSITION_WRT_ECI1,REFS_POSITION_WRT_ECI2,REFS_POSITION_WRT_ECI3,REFS_VELOCITY_WRT_ECI1,REFS_VELOCITY_WRT_ECI2,REFS_VELOCITY_WRT_ECI3,REFS_ALTITUDE,REFS_LATITUDE,REFS_LONGITUDE,REFS_MODELED_SUN_VECTOR_BODY1,REFS_MODELED_SUN_VECTOR_BODY2,REFS_MODELED_SUN_VECTOR_BODY3,REFS_SUN_MODEL_VECTOR_ECI1,REFS_SUN_MODEL_VECTOR_ECI2,REFS_SUN_MODEL_VECTOR_ECI3,REFS_MOON_VECTOR_BODY1,REFS_MOON_VECTOR_BODY2,REFS_MOON_VECTOR_BODY3,REFS_MOON_MODEL_VECTOR_ECI1,REFS_MOON_MODEL_VECTOR_ECI2,REFS_MOON_MODEL_VECTOR_ECI3,REFS_NADIR_VECTOR_BODY1,REFS_NADIR_VECTOR_BODY2,REFS_NADIR_VECTOR_BODY3,ATT_DET_Q_BODY_WRT_ECI1,ATT_DET_Q_BODY_WRT_ECI2,ATT_DET_Q_BODY_WRT_ECI3,ATT_DET_Q_BODY_WRT_ECI4,ATT_DET_ATTITUDE_VALID,ATT_CMD_PRI_REF_DIR,ATT_CMD_PRI_CMD_VEC_BODY1,ATT_CMD_PRI_CMD_VEC_BODY2,ATT_CMD_PRI_CMD_VEC_BODY3,ATT_CMD_SEC_REF_DIR,ATT_CMD_SEC_CMD_VEC_BODY1,ATT_CMD_SEC_CMD_VEC_BODY2,ATT_CMD_SEC_CMD_VEC_BODY3,ATT_CMD_CMD_TARGET1,ATT_CMD_CMD_TARGET2,ATT_CMD_CMD_TARGET3,ATT_CMD_CMD_Q_BODY_WRT_ECI1,ATT_CMD_CMD_Q_BODY_WRT_ECI2,ATT_CMD_CMD_Q_BODY_WRT_ECI3,ATT_CMD_CMD_Q_BODY_WRT_ECI4,RADIO_SDR_TX,RADIO_SDR_RX_LOCK,RADIO_SDR_TEMP,POWER_IO5_PAYLOAD_PWR,ANALOGS_PL_TIRS_TEMP1,ANALOGS_PL_TIRS_TEMP2,ANALOGS_BUS_TEMP,ANALOGS_IMU_TEMP,ANALOGS_PL_COMMAND_TEMP,ANALOGS_PL_POWER_TEMP,ANALOGS_BATTERY1_TEMP,ANALOGS_BATTERY_VOLTAGE,ANALOGS_BATTERY_1_CURRENT,GPS_GPS_VALID,GPS_MSG_TRACKED_SATELLITES,CSS_RAW_SUN_SENSOR_DATA12,CSS_RAW_SUN_SENSOR_DATA15,ATT_CTRL_SUN_AVOID_FLAG
2025-06-28T19:00:01.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,3924.7706800000005,-1396.0290400000001,-5493.21694,5.012207225,-3.5227169050000002,4.491619685,529.5,-0.9226667128,2.4203638784,-0.27008000000000004,0.56808,-0.7774000000000001,-0.12148,0.91068,0.39480000000000004,-0.5904,0.79376,-0.14624,-0.7704000000000001,0.56076,0.3034,-0.0002,1,-0.00004,0.6302530635,-0.409862693,0.0399123225,0.6581798045,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.6302011395,-0.4099295725,0.039974166000000005,0.65818412,NO,NO,17,ON,7.955,8.5295,8.5075,13.65,11.518,11.6205,8.3315,12.1635,-0.855,NO,0,0,0,NO
2025-06-28T19:00:03.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,3934.7855600000003,-1403.0710800000002,-5484.220340000001,5.00267499,-3.519322015,4.5049706700000005,529.5,-0.9206667127,2.4194547874,-0.26880000000000004,0.56872,-0.77736,-0.12148,0.91068,0.39480000000000004,-0.58864,0.7950400000000001,-0.14620000000000002,-0.7704000000000001,0.56076,0.30336,-0.0002,1,0,0.6297848735,-0.41056656350000004,0.040630739500000006,0.6581453135,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.6297490465000001,-0.41062352150000003,0.040699593,0.6581398065,NO,NO,17,ON,7.9325,8.661,8.42,13.620000000000001,11.6,11.6,8.3315,12.1635,-0.8305,NO,0,0,0,NO
2025-06-28T19:00:05.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,3944.7813600000004,-1410.10632,-5475.19706,4.993118245,-3.51590996,4.5183000700000004,529.5,-0.9186667126,2.4185456964,-0.26756,0.56932,-0.77736,-0.12148,0.91068,0.39480000000000004,-0.58692,0.79632,-0.14616,-0.7704000000000001,0.56076,0.30336,-0.0002,1,0.00004,0.6293220275,-0.41125514150000003,0.0413548935,0.6581130350000001,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.6292961850000001,-0.4113169795,0.0414249775,0.658094693,NO,NO,17,ON,7.9995,8.705,8.5295,13.620000000000001,11.477,11.6205,8.3315,12.1635,-0.904,NO,0,0,0,NO
2025-06-28T19:00:07.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,3954.75802,-1417.13472,-5466.14716,4.983537035,-3.51248076,4.5316078200000005,529.5,-0.9160000458,2.4176366054,-0.26628,0.56988,-0.7774000000000001,-0.12148,0.91068,0.39480000000000004,-0.5852,0.7976000000000001,-0.14620000000000002,-0.77044,0.56076,0.30332000000000003,-0.0002,1,0,0.6288859045,-0.4119407365,0.042086921500000006,0.658054739,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.6288425545,-0.41200994500000004,0.042150318500000006,0.6580487805,NO,NO,17,ON,7.977,8.6175,8.42,13.605,11.518,11.6205,8.3315,12.1635,-0.8245,NO,0,0,0,NO
2025-06-28T19:00:09.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,3964.7155000000002,-1424.15624,-5457.07066,4.9739314100000005,-3.5090344350000002,4.544893855,529,-0.9140000457,2.4167275144,-0.26504,0.5704800000000001,-0.77736,-0.12148,0.91068,0.39480000000000004,-0.58348,0.79888,-0.14620000000000002,-0.77044,0.56076,0.30328000000000005,-0.00024000000000000003,1,0,0.628427774,-0.4126318645,0.0428000345,0.6580133995,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.6283881560000001,-0.41270241750000003,0.042875615000000006,0.658002068,NO,NO,17,ON,7.977,8.661,8.42,13.61,11.559000000000001,11.6205,8.3315,12.1635,-0.8245,NO,0,0,0,NO
2025-06-28T19:00:11.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,3974.6537200000002,-1431.1708400000002,-5447.967600000001,4.96430141,-3.5055709950000002,4.55815811,529,-0.9120000456,2.4158184234,-0.26376,0.57108,-0.77736,-0.12148,0.91068,0.39480000000000004,-0.58172,0.8001600000000001,-0.14616,-0.77044,0.56076,0.30324,-0.0002,1,0.00004,0.6279618760000001,-0.41332647650000004,0.043530476500000005,0.6579743185,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.62793299,-0.41339439600000005,0.043600867,0.6579545560000001,NO,NO,17,ON,7.977,8.573500000000001,8.442,13.57,11.4975,11.682,8.3095,12.1635,-0.8855000000000001,NO,0,0,0,NO
2025-06-28T19:00:13.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,3984.57268,-1438.1785000000002,-5438.838040000001,4.95464708,-3.5020904550000003,4.57140052,529,-0.9100000455,2.4149093324,-0.26256,0.57164,-0.77736,-0.12148,0.91068,0.39480000000000004,-0.5800000000000001,0.8014000000000001,-0.14616,-0.77044,0.56076,0.3032,-0.00024000000000000003,1,0.00004,0.627515763,-0.4140148595,0.0442475565,0.6579193090000001,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.627477057,-0.41408588,0.0443260725,0.6579062440000001,NO,NO,17,ON,7.9995,8.6175,8.398,13.575000000000001,11.559000000000001,11.7025,8.3315,12.1635,-0.861,NO,0,0,0,NO
2025-06-28T19:00:15.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,3994.4723000000004,-1445.17918,-5429.68202,4.94496847,-3.498592835,4.58462102,529,-0.9073333787000001,2.4140002414,-0.26128,0.5722,-0.7774000000000001,-0.12148,0.91068,0.39480000000000004,-0.57828,0.80264,-0.14620000000000002,-0.77048,0.56076,0.3032,-0.00024000000000000003,1,0,0.627073231,-0.41470048800000003,0.0449844225,0.657859461,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.6270203575000001,-0.414776868,0.045051231500000004,0.657857133,NO,NO,17,ON,7.9325,8.6395,8.398,13.545,11.518,11.5795,8.3315,12.1635,-0.904,NO,0,0,0,NO
2025-06-28T19:00:17.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,4004.3525400000003,-1452.1728600000001,-5420.49956,4.9352656150000005,-3.495078145,4.597819545,529,-0.9053333786000001,2.4130911504,-0.26004000000000005,0.57276,-0.7774000000000001,-0.12152,0.91068,0.39480000000000004,-0.57652,0.80388,-0.14616,-0.77048,0.56076,0.30316000000000004,-0.00024000000000000003,1,0,0.6266175205000001,-0.41539276750000004,0.045704662,0.6578072785000001,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.6265628925000001,-0.41546736,0.045776342500000004,0.6578072220000001,NO,NO,17,ON,7.977,8.5515,8.376,13.540000000000001,11.518,11.641,8.3315,12.1635,-0.8185,NO,0,0,0,NO
2025-06-28T19:00:19.799Z,YES,YES,-0.889999911,NO,YES,NO,NO,4014.2133400000002,-1459.15948,-5411.29074,4.925538575,-3.49154641,4.61099603,529,-0.9033333785000001,2.4121820594,-0.25876000000000005,0.5733600000000001,-0.77736,-0.12152,0.91068,0.39480000000000004,-0.5748000000000001,0.8051600000000001,-0.14616,-0.77048,0.56076,0.30312,-0.00024000000000000003,1,0,0.626152971,-0.41608103900000004,0.046427291,0.6577640405,YES,GCNADIR,0,0.9999999749999999,0,VEL,0.9999999749999999,0,0,0,0,0,0.6261046615,-0.41615735400000003,0.046501405,0.6577565120000001,NO,NO,17,ON,7.9105,8.6175,8.3315,13.535,11.4975,11.641,8.3315,12.1635,-0.9405,NO,0,0,0,NO
